text	pred_label	true_label
”  New clause 97—Rights of employer and employee to minimum notice—  “(1) Section 86 of the Employment Rights Act 1996 (Rights of employer and employee to minimum notice) is amended as follows.	not_statement	not_statement
HR explained to her that because they were, you know, kind and did not want to do that to her while she was pregnant, they were very generously offering her a settlement agreement so that she did not have to go through that.	not_statement	not_statement
It really is an assault on democracy.	STRIKE	not_statement
The amendments being put forward by the Government directly demonstrate our commitment to full and comprehensive consultation on the detail of the plan to make work pay.	GENERAL	not_statement
With the provisions on the lower earnings limit going, 1<prd>3 million people will be accessing statutory sick pay.	not_statement	not_statement
The Secretary of State has claimed that this legislation is about public safety, so why does the Bill not mention safety once?	not_statement	not_statement
Government amendment 101.	not_statement	not_statement
187E Complaint to employment tribunal  (1) This section applies where an employer—  (a) offers or proposes to offer re-engagement on different terms to an employee—  (i) it has dismissed or proposes to dismiss for reasons other than conduct or capability, or  (ii) in relation to whom it has made or proposes to make substantial changes in work organisation or in contractual relations; or  (b) has failed to comply with any of the obligations set out in sections 187A or 187B.	not_statement	not_statement
Again, that is not right.	STRIKE	not_statement
 Under clause 6, the Bill imposes such burdensome regulation that it puts the EU banana straightening compliance team to shame. The extension of the roles and powers of the certification officer will impose additional administrative and financial pressures on unions. There will be a reporting requirement as to whether industrial action took place in the past 12 months, the nature of the dispute and the action that was taken.	GENERAL	STRIKE
Moreover, the general secretary of the European Trade Union Confederation, Esther Lynch, said:  “The UK already has among the most draconian restrictions on the right to strike in Europe, and the UK government’s plans would push it even further away from normal, democratic practice across Europe”.	STRIKE	not_statement
New clause 79—Duty to prevent and monitor sexual harassment in the workplace—  “(1) Section 2 of the Health and Safety at Work etc.	not_statement	not_statement
Kate Osborne No.	not_statement	not_statement
(7) A Minister of the Crown may by order—  (a) prescribe the period within which a question must be served to be admissible under subsection (3);  (b) prescribe the manner in which a question by P, or an answer by R, may be served.	not_statement	not_statement
The Minister for Social Security and Disability and I are working closely with disabled people’s organisations, charities and others to think about how we can build those pathways into work as we change jobcentres and improve employment support, ensuring that raising disability employment rates is at the heart of those changes.	EQUAL	GENERAL
It is fairly obvious to say that a minimum service level in railways, for example, is about people’s livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.	STRIKE	STRIKE
This Bill sets out to rob these people of those basic human rights, making it almost impossible for workers to exercise their right to take action, as detailed ballots are already so difficult to implement.	STRIKE	GENERAL
That would be better than what the Conservatives have done.	GENERAL	not_statement
Amendment 313, page 153, line 27, at end insert “or  “(d) a declaration relating to other working conditions;  “declaration relating to other working conditions” has the meaning given by section 4J(1);”.	not_statement	not_statement
Madam Deputy Speaker (Dame Rosie Winterton) Order.	not_statement	not_statement
I am not the first, and I will not be the last, to say this today, but the contrast could not be greater between the respectful and constructive approach taken in Scotland and in other parts of the UK and the draconian, intrusive, discriminatory, impractical and unnecessary measures the Tory Government have laid before us today	GENERAL	GENERAL
The sacking nurses Bill is one of the most indefensible and foolish pieces of legislation to come before this House in modern times.	STRIKE	not_statement
Now, I have no issue with him receiving that money from unions—I do not think that we should have taxpayer-funded political parties in this House—but I think it is only right that when Opposition Members stand up, they reflect what is on their records, which is that they have received a lot of money from unions and now seek to represent them in the debate.	GENERAL	not_statement
 As with most of this Government’s policies, this attempt to deny workers what is universally regarded as a fundamental human right seeks to divide communities and pit worker against worker, forcing some of them to walk past their colleagues and cross picket lines—although everyone here knows that I never have and never will cross a picket line.	STRIKE	STRIKE
(4) A harbour authority which fails to comply with subsection (2) is guilty of an offence and liable on summary conviction—  (a) in England and Wales, to a fine, or  (b) in Scotland and Northern Ireland, to a fine not exceeding level 5 on the standard scale.	not_statement	not_statement
Members must not shout other Members down.	not_statement	not_statement
The Government expect to consult on minimum service levels for ambulance, fire and rail services first.	STRIKE	not_statement
They think that this is purely about the funding of our party, but it is not, it is about values and belief in democracy, equality, collectivism and social justice. Those are the values of the real party of the workers, and that is why I oppose this Bill.	GENERAL	GENERAL
As well as reforming and strengthening the powers, the Government are moving amendments to expand the remit of the Fair Work Agency to ensure effective enforcement of statutory sick pay and holiday pay.	not_statement	WAGES
 Unions must take reasonable steps to ensure that members do not participate in strikes if they have been named in a work notice. It is up to unions to ensure public safety and not put lives at risk.	STRIKE	STRIKE
”  This new clause would require the Secretary of State to provide for statutory leave for victims of domestic abuse, with regulations providing for a minimum of ten days’ leave.	not_statement	not_statement
New clause 84—Consultation and assessment on the right to request flexible working—  “(1) The Secretary of State must carry out an assessment of the likely impact of the right to request flexible working provided for in section 7 of this Act.	not_statement	not_statement
The consensus on the economic impacts of labour laws is that, far from being harmful to growth, they contribute positively to productivity. Labour laws also help ensure that growth is more inclusive and that gains are distributed more widely across society	STATUS	GENERAL
Statutory instruments cannot be amended and the last time a Government was defeated on a statutory instrument was in 1979, so we know all power rests with the Government there.	not_statement	not_statement
Some of the proposals in the Bill are so bizarre that I cannot help but wonder if they were put in just so that they could be removed at a later point in the Bill�s  passage to give a false impression of just how reasonable the Government are.	not_statement	GENERAL
Its committee on freedom of association has expressly set out the two circumstances in which it may be appropriate: where strike action would pose a risk to life, safety or health; or where the service is not essential in the strict sense of the word, but where repeated strikes would bring a very important sector to a standstill.	STRIKE	not_statement
I have spent the past 13 years representing large numbers of women who were either made redundant while pregnant, on maternity leave or trying to come back from maternity leave, or whose employer suddenly woke up one morning and decided that they were underperforming, often within 24 hours of their announcing their pregnancy.	not_statement	not_statement
Secretary of State, I believe in the fundamental right of a worker to withdraw their labour, whether that happens to be from an employer or against the Government.	not_statement	STRIKE
I would also welcome any clarity the Minister can provide around how he intends to escape the inevitable confusion arising when attempting to ballot a workplace where some occupations are covered by the �important public services� provisions and others are not. Will the Minister give further details on the requirement for �reasonably detailed� information to be provided on ballot papers? If a failure to provide such information is to be a basis for legal action by employers against workers taking industrial action, it is crucial that the House should be informed in advance of how �reasonably detailed� is to be defined	STRIKE	STRIKE
Grant Shapps I would just say to the hon<prd> Lady, who I know has received money from GMB, the National Union of Rail, Maritime and Transport Workers, Unite the union, CLP among others—nothing wrong with that; I am just putting it on the record—that she is wrong factually about the way the last two strikes, last week and in December, occurred.	not_statement	not_statement
(4) A report setting out the findings of the assessment must be laid before each House of Parliament no sooner than 18 weeks after the consultation has been initiated.	not_statement	not_statement
”  This amendment would remove almost all of Section 34 on the consideration of matters by the Negotiating Body, retaining the power in the regulations that agreements on matters by the Negotiating Body be referred to the Secretary of State.	not_statement	not_statement
e.	not_statement	not_statement
However, it is absolutely wrong to apply in this Bill a test that, were it to be applied in this place, would mean that very few people would come here.	not_statement	GENERAL
The concept of minimum service levels is protected in article 11 of the ECHR and is endorsed by the International Labour Organisation.	STRIKE	not_statement
Striking is not a first resort, it is a last resort, but unfortunately the Bill is based on that misconception.	STRIKE	STRIKE
I am sure that my hon. Friend the shadow Minister does understand it. Does he agree that that is fundamental to understanding why the balance of this legislation is wrong?	GENERAL	GENERAL
In sum, this Bill ensures that unions can continue to play a valuable role, doing the work they do best while operating with the transparency, fairness and democracy they need to retain the public�s confidence. This is not a Bill against trade unions, it is a moderate Bill that balances the rights of unions and people working across this country, and I commend it to the House.	STRIKE	GENERAL
I therefore welcome the measures in the Bill to provide more clarity and democracy. The Bill will improve trade union practices and increase transparency. I particularly commend three measures: first, time-limited mandates, which will improve clarity and democratic legitimacy, secondly, the requirement for a clear description of the planned industrial action, which is fair and reasonable, and thirdly, the proposal for a new, transparent opt-in system for political subscriptions, which is welcome.	GENERAL	STRIKE
I absolutely agree with my hon. Friend. In fact, many of the issues raised could be dealt with through general legislation rather than a specific trade union Bill.	GENERAL	GENERAL
New clause 86—Unfair dismissal: impact assessment—  “(1) The Secretary of State must carry out an assessment of the likely impact of section 21 and Schedule 2 of this Act on—  (a) employers, and  (b) the economy.	not_statement	not_statement
The reason it is so badly drafted is that it is a crudely partisan measure that the Conservative party is seeking to rush through for purely political ends.	GENERAL	GENERAL
Instead, unions will provide reminders about members’ right to opt out every 10 years, ensuring transparency without imposing costly and time-consuming ballots	GENERAL	GENERAL
Does the Business Secretary agree with the Education Secretary that imposing these regulations on schools would be a hostile act?	not_statement	not_statement
Amendment 338, in clause 38, page 52, line 17, leave out from “remuneration” to the end of line 18 and insert—  “the worker’s remuneration is to be no less than that determined and paid in accordance with the agreement.	not_statement	not_statement
Munira Wilson (Twickenham) (LD) Could the Minister clarify for the House whether the provisions on the school support staff negotiating body will provide a ceiling as well as a floor on pay, or will it just be a floor?	not_statement	not_statement
This Bill undermines a number of basic, fundamental human rights.	GENERAL	GENERAL
’”  This new clause will create a duty on the Health and Safety Executive to develop a health and safety framework on violence and harassment and to issue guidance for employers about the protection of those facing violence and harassment on the basis of gender in the workplace.	not_statement	not_statement
”  This new clause would require the Secretary of State to hold a consultation on the rate of Statutory Sick Pay.	not_statement	not_statement
Although it is true that life-and-limb measures exist, we have seen through the many months of rail closures and the strikes that took place last week and in December that unfortunately minimum service levels in one case, and actually minimum safety levels in another, have simply not been available.	STRIKE	not_statement
They are terrified that, at a time of high inflation, their livelihoods are at risk along with those of their employees.	STRIKE	not_statement
What will these bodies have to do?	GENERAL	not_statement
(2) After subsection (2)(e) insert—  ‘(f) the adoption of proactive and preventative measures to protect all persons working in their workplace from violence and harassment, including—  (i) gender-based violence;  (ii) sexual harassment;  (iii) psychological and emotional abuse;  (iv) physical and sexual abuse;  (v) stalking and harassment, including online harassment;  (vi) threats of violence.	not_statement	not_statement
The Bill is part of a jigsaw of legislation that the Government have forced through during more than one parliamentary term. They are extending the role of the certification officer in regulating trade unions, which includes the granting of a new power to impose fines. That simply means the introduction of a new trade union tax: the unions will have to pay for the investigatory powers of the certification officer. It is ludicrous, and it is against democracy.	GENERAL	GENERAL
Does the Secretary of State for Business, Energy and Industrial Strategy deny that the Health Secretary has told others to lobby the Prime Minister for improved pay offers?	not_statement	not_statement
They only care about attention-grabbing headlines—about moving the Overton window so the people of this country will accept more and more restrictions on their rights.	GENERAL	not_statement
(2) Omit section 145F(3).	not_statement	not_statement
New clause 35 will create a new duty in the Working Time Regulations 1998 for employers to retain records relating to holiday pay and annual leave for six years.	not_statement	not_statement
When they talk about “all reasonable steps”, it is only reasonable steps, it is not every single step in the entire history of the universe that anyone could ever dream up or imagine.	GENERAL	EQUAL
The SNP strongly opposes the proposed reforms, because they will erode democracy in the workplace. The Bill would restrict the power of devolved Administrations, local governments and other public bodies to determine their own industrial relations.	GENERAL	GENERAL
Government amendment 16.	not_statement	not_statement
(7) The Secretary of State must, within three months of receipt of the report—  (a) respond to the recommendations in the report, and  (b) publish the response and lay it before both Houses of Parliament.	not_statement	not_statement
Members watching this debate and constituents up and down the country know the truth, and they will tell this Government what they think, come the next general election.	GENERAL	not_statement
For anyone who cares about the ability to take industrial action and to strike, what we are doing here enshrines that.	STRIKE	not_statement
Justin Madders There is the Co-op—quite a big business—Richer Sounds, Centrica and the British Chambers of Commerce.	not_statement	not_statement
New clause 78—Access to employment rights: workers on temporary visas—  “(1) The Secretary of State must, within six months of this Act being passed, commission an independent report on the extent to which workers on temporary visas are able to assert their rights under employment law.	not_statement	not_statement
Our measures on guaranteed hours, reasonable notice of shifts, and payment for short-notice cancellations seek to ensure that workers, often in fragmented sectors with little voice of their own, do not bear all the risk of uncertain demand.	WAGES	WAGES
Emergency services should not be a bargaining chip in employment disputes.	not_statement	not_statement
”  This new clause asks the Secretary of State to conduct a review of modern slavery to ensure that the employment rights granted in the Act are effective in preventing modern slavery.	STATUS	not_statement
The Secretary of State is hiding behind warped misunderstandings of the International Labour Organisation’s statute book and misleading comparisons with Europe.	STRIKE	not_statement
Minimum service levels are “not a game-changer” and could  “promote more industrial action than they mitigate.	STRIKE	not_statement
That is what this is all about.	STRIKE	not_statement
It allows the Government to amend and revoke any future legislation passed in this Session, so what is the point of Parliament?	not_statement	not_statement
I want to give people the opportunity to do that in their own speeches.	GENERAL	not_statement
(2) The consultation under subsection (1) must consider the economic effects of increasing Statutory Sick Pay for small employers with 250 employees or less, including the effects on—  (a) productivity;  (b) long-term illness;  (c) benefit spending; and  (d) economic growth &amp; tax revenue.	not_statement	not_statement
Once again, Ministers have introduced primary legislation with wide-ranging discretionary powers for Ministers without publishing the details of vital secondary legislation in a timely manner.	GENERAL	not_statement
He was somebody who was blocking the DFT from agreeing deals, and now we have that same person in post leading the charge for anti-strike and anti-worker legislation.	not_statement	not_statement
I stand in solidarity with them, and I will always fight to protect the right to strike from irresponsible attacks such as this.	STRIKE	STRIKE
””  This amendment amends the Social Security Contributions and Benefits Act 1992 to ensure that the entitlement to statutory pregnancy loss pay extends to those bereaved by pregnancy loss.	not_statement	not_statement
(7) A “personal service company” means a company—  (a) in which the worker or employee is a director, or a substantial shareholding is held by the worker or employee, by themself or by or with a member of the family of the worker or employee, or by or with a third party for whom the labour is or was performed, or a nominee or nominees of such a third party; and  (b) which has contracted with the worker or employee to provide their labour to a third party or parties nominated by the company; and  (c) in relation to which the terms and conditions on which the worker or employee is or was engaged to perform the labour are or were substantially determined by any third party for whom the labour is or was to be performed, by itself or jointly with another person or entity; and  (d) in which the status of any third party for whom the labour is or was to be performed is not in practice that of a client or customer of the profession or business undertaking carried on by the worker or employee.	not_statement	not_statement
13:36:00  The Parliamentary Under-Secretary of State for Business and Trade (Justin Madders) I beg to move, That the clause be read a Second time.	not_statement	not_statement
Grant Shapps I am sure that the normal parliamentary rules apply, so I would never stand here and seek to do such a thing.	not_statement	not_statement
The UK has some of the most restrictive trade union laws in the western world.	GENERAL	GENERAL
Amendment 342, page 131, line 19, at end insert—  “(e) a procedure for the resolution of disputes at employer, regional and national level, including the power to refer a dispute to ACAS for conciliation and mediation and, if not then resolved, entitlement to refer the matter to the Central Arbitration Committee to resolve the dispute, the decision of the latter being binding;  (f) Any other matter agreed to be the subject of negotiation by the parties.	not_statement	not_statement
The Government have tabled a range of amendments in relation to zero-hours measures. These amendments will help ensure that the zero-hours contract reforms work for workers and employers, supporting a culture where secure work and prosperous growth go hand in hand.	STATUS	STATUS
In the past 12 months to two and a half years, we have seen the unravelling of the VIP fast-track lane for people linked to the Conservative party—that was a waste of billions of pounds that could have gone into investment in our public services.	not_statement	not_statement
(4) A declaration is within this subsection if it is provided during the relevant year and it is to the effect that—  (a) the relevant working conditions have been met in relation to the service in so much of the relevant year as has already occurred, and  (b) the relevant working conditions will be met in relation to the service in what remains of the relevant year.	not_statement	not_statement
This amendment is consequential on Amendment 307.	not_statement	not_statement
When I have met major blue-chip employers such as Centrica and HSBC, and their employees who have benefited from those corporations’ carers policies, The 2<prd>8 million people who juggle a job and caring responsibilities are going above and beyond to care for those they love while also contributing to our economy.	WAGES	not_statement
(2) The employer shall consult with a view to reaching an agreement to avoid decisions being taken to terminate contracts of employment, or to introduce changes in work organisation or in contractual relations.	not_statement	not_statement
New clause 61—Status of Workers—  “(1) The Trade Union and Labour Relations (Consolidation) Act 1992 is amended as follows.	not_statement	not_statement
There is no real wrong that this Bill is trying to right. It is not about high principle, just low politics.	GENERAL	GENERAL
In Scotland, this is further proof that the Westminster straitjacket does us no good at all.	not_statement	not_statement
The Secretary of State is giving the House the impression that London commuters would somehow be protected by his threshold. Is he aware that the recent industrial action on the tube  would have passed those thresholds? He talks about partnership. Is it not the case that it is not the strikes and the ballots that are the problems, but the intransigent Mayor of London who is sitting behind him?	STRIKE	STRIKE
Will the Minister explain how the procedure will help with that process of improving identification of misconduct and reducing directors’ ability to start up again having misused their role as a director of a company?	GENERAL	GENERAL
19:08:00  Vicky Foxcroft (Lewisham, Deptford) (Lab) Let me start by declaring an interest: I am a proud member of both Unite the union and GMB and, prior to being elected to this place, I worked for Unite the union for over a decade.	not_statement	not_statement
I do not know whether Opposition Members have ever been to France, but the French have been known to strike.	STRIKE	not_statement
Allowing employers to decide who has to work on notified strike days clearly infringes on workers’ rights to withdraw labour.	STRIKE	STRIKE
We know that being a carer makes people much more likely to fall into poverty.	not_statement	not_statement
The reality is this: after 12 years of a Tory Government, minimum safety no longer exists in our NHS. 	STRIKE	STRIKE
That is why we must act.	not_statement	not_statement
I am afraid I will have to ask the hon<prd> Lady to withdraw her remark about fabricating.	not_statement	not_statement
There is so much in it, and I know that so many of us on the Government Back Benches are really pleased with what we are bringing forward.	STRIKE	not_statement
The Secretary of State is completely fabricating what happens.	STRIKE	not_statement
(3) The report must examine the extent to which workers on temporary visas feel unable to assert their employment rights because they are dependent on their employers to sponsor their visas.	not_statement	not_statement
They have slashed legal aid and introduced employment tribunal fees, which deny women the chance to sue for equal pay or defend themselves against sexual harassment.	EQUAL	EQUAL
It is clear that trade unions can play a vital role, so why are enclaves of radicalism such as the British Medical Association, the Headmasters� and Headmistresses� Conference, the Royal College of Midwives, the Royal College of Nursing and the Society of Authors being attacked in this way?	GENERAL	GENERAL
Although the Conservatives might hide behind that manifesto commitment, that commitment has nothing to do with clamping down on the NHS or on teachers.	GENERAL	not_statement
Amendment 279, page 17, line 16, leave out “a specified amount of time” and insert “2 weeks and ideally one month”.	not_statement	not_statement
Amendments in relation to the rights in clauses 2 and 3 to reasonable notice of shifts and payment for short-notice cancellation, curtailment and movement of shifts will ensure that the rights work appropriately for workers whose contracts specify the timing of at least some of their shifts, provide that a worker is entitled to a payment from their employer only for a shift cancelled, moved or curtailed at short notice if they reasonably believed they would be needed to work the shift, and allow employers to disclose personal information about a worker in notices of exceptions, where appropriate and in accordance with data protection law, and ensure that the usual burden of proof applies where it is alleged that such a notice is untrue.	not_statement	WAGES
Will she point out where there are any criminal sanctions attached to the proposed legislation?	not_statement	not_statement
The Government are moving amendments that will add two new provisions into part 2 of the Bill.	not_statement	not_statement
Secondly	 demoralise them.�	 unions will need to obtain the active consent of members to deduct a political levy. At present
We have had 13 years of failure, and working people of this country cannot take any more.	not_statement	not_statement
Trade unions are subject to the most vigorous legislation when they are balloting and trade union money is the cleanest money in politics.	GENERAL	not_statement
This is not just political; it is also personal.	GENERAL	not_statement
I would like to speak to various bits of this legislation today.	GENERAL	not_statement
”  (2) Schedule (Agency workers: guaranteed hours and rights relating to shifts) inserts Schedule A1 into the Employment Rights Act 1996.	not_statement	not_statement
Let us move on to education.	GENERAL	not_statement
Thirdly, the Bill works to redress the balance between striking and non-striking workers through the proposals to minimise the disruption caused by strike action. It is perfectly sensible to require 14 days� notice of a strike. It would also be sensible, for example, that if the teachers at my daughter�s school were to go on strike, agency workers could be brought in so that my children�s education would not be disrupted.	STRIKE	STRIKE
