text,concept
"Unison and GMB told me that they limited strike action to six or 12 hours instead of 24 hours, that there were procedures for bringing workers back from the picket line if they were needed on the ward, and that they monitored call volumes in real time to ensure that patients were kept safe.",COLLECT
"I understand the value of a trade union—I understand that workers may want to organise to protect pay and working conditions—but what we are seeing is hard-left leaders and militant trade unions taking advantage of economic difficulty to instigate what is effectively a rolling general strike. When those actions put lives at risk, we Conservatives know that we must take action.",COLLECT
"If the trade unions offer a safe level of service at the very least, there is no need to have a minimum service level.",COLLECT
"The Government are on a mission to take power from the people, with restrictions on the right to protest, restrictions on democracy with voter ID, the removal of huge chunks of human rights through their Retained EU Law (Revocation and Reform) Bill—that will scrap more than 4,000 pieces of legislation, many of which cover the basic rights of people in this country—and now this disgraceful attempt to criminalise workers taking legitimate industrial action.",JUST
" As with most of this Government’s policies, this attempt to deny workers what is universally regarded as a fundamental human right seeks to divide communities and pit worker against worker, forcing some of them to walk past their colleagues and cross picket lines—although everyone here knows that I never have and never will cross a picket line.",JUST
"The Government should be negotiating, not legislating.",RIGHTS
"If we attack the trade unions, which are made up of members who are workers, then we are attacking the workers.",POWER
The Bill is part of the Government’s plan to restrict all our rights and to demonise and criminalise those who are just trying to survive.,JUST
I know from first-hand experience the amazing work that trade unions do in representing their members in the workplace.,COLLECT
The fact is that minimum service levels do not stop strikes in Europe.,COMPAR
These are negotiated between the unions and the employers.,COLLECT
"They ensured there was a mutual voluntary agreement not through legislation, but through negotiation—something that we all know happens right the way through the public sector.
",COLLECT
Trade union rights are human rights.,JUST
"The right to strike is embedded in international law, most notably in article 11 of the European convention on human rights.",LEGAL
"The disingenuousness comes from making comparisons with other nations under ILO regulations, which clearly have a completely different context.",COMPAR
"The Opposition will have to say why all those comparable states, which go much further than us, are somehow acting lawfully, yet we are not.",COMPAR
"It contains wide, prospective Henry VIII powers, and as we saw during the pandemic, if we give the Government such powers, they abuse them—but they are putting them in legislation.",POWER
Ministers are trying to have power over Parliament—that is all the Bill is about—and to encourage employers to have power over workers.,POWER
"If the Government are serious about having minimum service levels, and if they are serious about negotiating, which nobody in the Government seems able to do, they should agree to compulsory arbitration or mediation to resolve disputes, but they are not interested in that.",CREATE
"I say to the Government, however, that the public are not stupid and they see what the Government are doing by trying to take away their rights at every single level, including the right to protest and the right to vote.",JUST
"We see what the Government are doing and we will stand up and stop them at every opportunity.
",POLIT
"This whole debate is about balancing the right to strike with the right of our citizens to have access to key services when they need them—the right of citizens to get to work, the right of children to get to school, and the right of small business owners to continue their business.
",BALANC
"Hard-working union members who feel pressured to strike, who believe that eight days of strikes in quick succession is too much, or who do not agree with having six days to respond to a ballot referendum instead of the standard 14, want the situation tempered and want their needs and rights to be recognised, rather than the ideological ones of trade unions.",COLLECT
"I wonder what the hundreds of thousands of teachers who just voted to go on strike against his abominable Government think about being called political pawns, when they are striking to look after our children.",POLIT
"The restrictive anti-trade union legislation they pushed through in 2016 clearly was not enough for them, so now we see an unprecedented attack that will undermine the most basic of workers’ rights—the right to withdraw labour.",JUST
The right to strike is essential for fairness in negotiations with employers and to protect workers from having appalling pay and conditions imposed on them.,JUST
It is what differentiates modern Europe from the medieval serfdoms of the past.,COMPAR
"We saw them illegally prorogue Parliament and push through Brexit, and now we see plans for a bonfire of thousands of EU regulations that protect our rights.",LEGAL
"They do not have unspecified minimum service levels imposed on them by an Executive, as this Bill would enable this Government to do.",COMPAR
"They are striking for the very future of public services, which they witness being run into the ground.",ECONOMIC
"They are protecting the cohesion of our communities, the standards of living we should all be able to enjoy and the rights of all workers.",JUST
"I stand in solidarity with them, and I will always fight to protect the right to strike from irresponsible attacks such as this.",JUST
"It is fair and reasonable, and I always come back to the theme of being fair and reasonable, to suggest that some of this legislation—and I will be supporting the Bill—is about making sure there is a correct balance between those in the unions who wish to strike and those, who are a majority of my electorate, who continue either to run their own small companies or to work in smaller industries that rely on public services, such as the railway network.",BALANC
"Finally, my great friend my hon. and gallant Friend the Member for Bracknell (James Sunderland) mentioned that our armed forces and the police have not been able to strike for over 100 years. That system has worked, so I am not necessarily worried about this particular piece of legislation.",COMPAR
"Lutonians have written to me concerned about the plans to restrict their right to strike not just for themselves, but for the services they rely on.",JUST
"This is a debate about the balance of rights, and balancing the right to strike of our constituents who work in essential public services with the rights of our other constituents, and their right to get to work, to school, to have their operation, and even in the case of blue-light services, their right to life.",BALANC
"It is certainly not an attack on public sector workers, and suggestions otherwise from Labour Members are both disgusting and an attempt to stifle genuine debate.",JUST
"The Labour party would have us believe that this is some outrageous attack on workers’ rights—“political violence”, said the hon. Member for Jarrow (Kate Osborne)—and something that no civilised country could possibly contemplate. No civilised country other than Spain, Italy, Germany, France, or indeed the United States, Australia and Canada, which in some areas have an outright ban on strikes in blue-light services. Normally, Opposition Members idolise Europe’s approach to employment rights, but on the issue of minimum services they are keeping very quiet.",COMPAR
"“but regret that the measures in the Gracious Speech fail to ensure that those who put in a hard day’s work get a decent reward for doing so, or cut the costs to the social security system resulting from the current record 5.2 million workers on low pay and the rising tide of insecurity at work, and call on your Government to bring forward measures setting the Low Pay Commission a five year target to raise the National Minimum Wage faster than average earnings while retaining the capacity to take account of shocks to the economy.”.",RIGHTS
"The Government’s plan to make work pay is a core part of our mission to grow the economy, raise living standards across the country and create opportunities for all. It will tackle the low pay, poor working conditions and poor job security that have been holding our economy back. The Bill is the first phase of delivering our plan to make work pay, supporting employers, workers and unions by raising the minimum floor of employment rights, raising living standards across the country and levelling the playing field for those businesses that are engaged in good practice.
",ECONOMIC
"This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation. ",RIGHTS
"The Government have tabled a range of amendments in relation to zero-hours measures. These amendments will help ensure that the zero-hours contract reforms work for workers and employers, supporting a culture where secure work and prosperous growth go hand in hand.",BALANC
"Amendments in relation to clause 1, covering the right to guaranteed hours, will clarify requirements where a worker works for an employer under more than one contract at the same time, clarify that under a guaranteed hours offer, if it is accepted, work must be provided by the employer for the hours set out and that those hours must be worked by the worker, and enable a worker to take a case to an employment tribunal on the ground that an employer deliberately structured the worker’s hours or offered work in such a way as to make a reduced guaranteed hours offer or to avoid having to make an offer at all.",WAGES 
"Given the urgent necessity to promote growth, surely the acid test of a Bill such as this is whether it will actually make it more attractive for entrepreneurs to create jobs.",ECONOMIC
"The consensus on the economic impacts of labour laws is that, far from being harmful to growth, they contribute positively to productivity. Labour laws also help ensure that growth is more inclusive and that gains are distributed more widely across society",ECONOMIC
"Amendments in relation to the rights in clauses 2 and 3 to reasonable notice of shifts and payment for short-notice cancellation, curtailment and movement of shifts will ensure that the rights work appropriately for workers whose contracts specify the timing of at least some of their shifts, provide that a worker is entitled to a payment from their employer only for a shift cancelled, moved or curtailed at short notice if they reasonably believed they would be needed to work the shift, and allow employers to disclose personal information about a worker in notices of exceptions, where appropriate and in accordance with data protection law, and ensure that the usual burden of proof applies where it is alleged that such a notice is untrue.
",ACCESS
"The tightening up that he proposes is very welcome. When does he think he will set out the detail—[Interruption.] When will he set out the detail of, for example, the period of time that someone must work before being offered a zero-hours contract?",CREATE
"Our measures on guaranteed hours, reasonable notice of shifts, and payment for short-notice cancellations seek to ensure that workers, often in fragmented sectors with little voice of their own, do not bear all the risk of uncertain demand.",ACCESS
"However, we recognise that there are cases where unions and employers, working together, may want to agree more tailored rights than the provisions allow, which would benefit both the workers and the employer given the unique context of that particular sector. Unions, businesses and trade associations have made a case for that flexibility in their meetings with us. We want to allow for that, while also providing a baseline for sectors where unionisation is uncommon or agreement cannot be reached. New clause 33 and associated amendments will allow employers and unions to collectively agree to modify or opt out of the zero-hours contract measures.",BALANC
"The Government’s plan to make work pay is a core part of our mission to grow the economy, raise living standards across the country and create opportunities for all. It will tackle the low pay, poor working conditions and poor job security that have been holding our economy back. The Bill is the first phase of delivering our plan to make work pay, supporting employers, workers and unions by raising the minimum floor of employment rights, raising living standards across the country and levelling the playing field for those businesses that are engaged in good practice.",ECONOMIC
"This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation",RIGHTS
"The Government have tabled a range of amendments in relation to zero-hours measures. These amendments will help ensure that the zero-hours contract reforms work for workers and employers, supporting a culture where secure work and prosperous growth go hand in hand.",BALANC
"Amendments in relation to clause 1, covering the right to guaranteed hours, will clarify requirements where a worker works for an employer under more than one contract at the same time, clarify that under a guaranteed hours offer, if it is accepted, work must be provided by the employer for the hours set out and that those hours must be worked by the worker, and enable a worker to take a case to an employment tribunal on the ground that an employer deliberately structured the worker’s hours or offered work in such a way as to make a reduced guaranteed hours offer or to avoid having to make an offer at all.",COMPL
"Given the urgent necessity to promote growth, surely the acid test of a Bill such as this is whether it will actually make it more attractive for entrepreneurs to create jobs.",ECONOMIC
"The consensus on the economic impacts of labour laws is that, far from being harmful to growth, they contribute positively to productivity. Labour laws also help ensure that growth is more inclusive and that gains are distributed more widely across society",ECONOMIC
"Amendments in relation to the rights in clauses 2 and 3 to reasonable notice of shifts and payment for short-notice cancellation, curtailment and movement of shifts will ensure that the rights work appropriately for workers whose contracts specify the timing of at least some of their shifts, provide that a worker is entitled to a payment from their employer only for a shift cancelled, moved or curtailed at short notice if they reasonably believed they would be needed to work the shift, and allow employers to disclose personal information about a worker in notices of exceptions, where appropriate and in accordance with data protection law, and ensure that the usual burden of proof applies where it is alleged that such a notice is untrue.",ENFORCE
"The tightening up that he proposes is very welcome. When does he think he will set out the detail—[Interruption.] When will he set out the detail of, for example, the period of time that someone must work before being offered a zero-hours contract?",CREATE
"Our measures on guaranteed hours, reasonable notice of shifts, and payment for short-notice cancellations seek to ensure that workers, often in fragmented sectors with little voice of their own, do not bear all the risk of uncertain demand.",POWER
"However, we recognise that there are cases where unions and employers, working together, may want to agree more tailored rights than the provisions allow, which would benefit both the workers and the employer given the unique context of that particular sector. Unions, businesses and trade associations have made a case for that flexibility in their meetings with us. We want to allow for that, while also providing a baseline for sectors where unionisation is uncommon or agreement cannot be reached. New clause 33 and associated amendments will allow employers and unions to collectively agree to modify or opt out of the zero-hours contract measures.",BALANC
"Like the other workers covered by this part of the Bill, agency workers deserve a baseline of security and access to a contract that reflects their regular hours. ",JUST
"We are keen not to see a wholesale shift from directly engaged workers to agency workers as a way for employers to avoid the zero-hours provisions in the Bill.
",DETER
"New clause 32, new schedule 1 and associated amendments will narrow the broad power currently in the Bill and instead include provisions for similar rights to be extended to agency workers. Hirers, agencies and agency workers can then be clear where responsibilities will rest in relation to the new rights.",COMPL
These amendments reflect the call for clarity from stakeholders in their response to the Government’s public consultation on this issue.,COMPL
regulations that achieve the policy objective of extending rights to agency workers without unintended consequences for employment agencies and hirers—and we will work on that in due course.,REPLIC
"This Bill will help employers to raise standards in relation to these practices, so that the vast majority of businesses that do the right thing by their workers will no longer be undercut by those with low standards.
",ADEQ
It is the Government’s intention to end the unscrupulous use of fire and rehire. We are proposing technical amendments that allow the clause to work as intended to provide those protections.,JUST
"They ensure that, once the provisions of the Bill that make unfair dismissal a day one right come into force, the automatic unfair dismissal protections from unscrupulous fire and rehire practices will apply once the employee starts work",REPLIC
This brings the provision in line with other changes to unfair dismissal.,LEGAL
"These amendments also make it clear that the person will be protected from fire and rehire when they are dismissed and then rehired to do exactly the same job as they were doing previously, but on worse conditions.",REPLIC
Clause 25 will modernise the collective redundancy framework to ensure that it works for employees and employers alike,BALANC
 so the changes proposed would ensure that this clause extends protections for employees while limiting burdens for employers.,BALANC
" This will happen after we have consulted, ensuring that it balances the needs of a growing business with the interests of employees.",BALANC
"The Government’s intention is to ensure that it is more difficult for a small and unscrupulous minority of employers to ignore their collective redundancy obligations, as we have seen in recent years.",DETER
They recognise that collective consultation with their workforce can be valuable in finding solutions to the challenges that businesses face,ECONOMIC
"We will publish a new code of practice to guide employers on their collective consultation obligations and promote the way good employers are working with their employees to arrive at mutually beneficial outcomes, so that all businesses are required to do the same.",ADEQ
" The Bill will increase the baseline set of rights for employees with parental responsibilities, enabling more working parents to get on at work and achieve a better work-life balance, whether they are raising children or looking after a loved one with a long-term health condition. ",RELATE
"Businesses will gain too, where this boosts workforce participation and helps employers to fill vacancies. ",ECONOMIC
These amendments will ensure that these provisions work as intended.,REPLIC
This is to ensure that the regulations can clearly set out details as part of defining the circumstances in which a pregnant woman can still be fairly dismissed.,COMPL
"In our “Plan to Make Work Pay”, we committed to establishing a fair earnings replacement for lower earners.",ADEQ
" After carefully considering the responses, the Government believe that an 80% rate strikes the right balance between providing financial security to employers that need it, including retaining an incentive to return to work when appropriate, while limiting additional cost to businesses.",BALANC
"The Minister may correct me, but I do not believe the provisions around menstrual health—the menopause strategy and so on—include endometriosis, which can be crippling for people in the workplace.",PHYSICAL
"I may not have seen it in the Bill, but does the Minister have any plans to ensure that this becomes a protected area of sick leave?",RIGHTS
"Endometriosis is devastating for many women, but at the moment, they are struggling to get this terrible disease recognised in the workplace.",ADEQ
 We think that that is the right balance and that it will leave people in a much better position.,BALANC
The amendment marks an important step towards ensuring non-compliant umbrella companies are no longer able to deny workers the rights they are owed.,DETER
We absolutely think that a floor is needed given some of the issues with low pay in this country.,ADEQ
Does he not understand that that creates a massive burden on many businesses?,ECONOMIC
Would it not be better to accept that the Government have gone a little overboard with the Bill and to start afresh with proper consultation with businesses at ground level?,COMPL
" It was a Labour party commitment to launch an Employment Rights Bill within 100 days of taking office, and I am proud that we have delivered on that commitment and that we have this Bill here today.",POLIT
 That will allow such workers to bring an unlawful deduction of wages claim or breach of contract claim for a breach of fair pay agreement terms.,ACCESS
"As such, it is right for Scotland and Wales to have the powers to set up negotiating bodies that can provide for their systems and workforces as they are now. These amendments and associated consequential amendments will allow the devolved Ministers to exercise certain powers in this chapter of the Bill with the consent of the Secretary of State, ensuring that the Secretary of State retains oversight of regulations relating to the reserved matters of employment and industrial relations.",ENFORCE
It will enable those regulations to apply to section 49 of the National Minimum Wage Act 1998 in order to prevent employers from trying to contract out of their new record keeping obligations.,DETER
The Committee’s inquiry demonstrated a clear gap in support for those who experience pregnancy loss and need time to recover and grieve.,ADEQ
"Bereavement is not an illness or a holiday, and it needs its own special category.",COMPL
"Many already do so through their membership of Employers’ Initiative for Domestic Abuse, which empowers employers to tackle domestic abuse.",RIGHTS
"The Bill includes provision to make flexible working easier to request, which we know can be of great help to those experiencing domestic abuse, who may need to take time from work for appointments for domestic abuse-related matters.",JUST
The Government are pressing ahead with plans to implement the provisions relevant to NDAs in the Victims and Prisoners Act 2024 and the Higher Education (Freedom of Speech) Act 2023.,ADR
Imposing a duty on bigger employers to look at and investigate protected disclosures is a vital way of moving forward on that key legislation.,ADR
"Boosting wages will increase workforce participation, helping employers fill vacancies and supporting us to reach our ambition of 80% employment.",ECONOMIC
"With many Labour Members claiming that they care about young people being employed, has the Minister’s Department made assessments about the employment impact of the decision to introduce minimum guaranteed hours for students and young people who rely on the flexibility of being able to pick and choose their work hours, particularly those who are working in the hospitality sector, which is being decimated by this Government?
",ECONOMIC
"I think the hon. Gentleman is referring to the ban on exploitative zero-hours contracts, but if somebody wants a flexible hours contract, then that is a good thing, and nothing in the changes prevents that.",ECONOMIC
"When getting young people a proper range of choices and jobs through the jobcentre, not nearly enough work has been done to serve employers better.",ENFORCE
The disability employment gap stands at 30% and countless disabled workers end up out of work because their employers refuse to make simple changes that would help them to do their jobs.,COMPL
Does the Minister agree that the default right to flexible working in Labour’s Employment Rights Bill will help many disabled workers to keep the jobs they love? What else can the Minister’s Department do to help more disabled people to find and keep work?,RIGHTS
"With the increase in conditions that can be variable over time, the flexible working right will help people.",JUST
"The Minister for Social Security and Disability and I are working closely with disabled people’s organisations, charities and others to think about how we can build those pathways into work as we change jobcentres and improve employment support, ensuring that raising disability employment rates is at the heart of those changes.",ENFORCE
Amendments to clause 50 will strengthen the provisions of trade union access rights.,RIGHTS
They will ensure that the framework functions effectively and delivers on our commitment to modernise working practices.,ADEQ
"The amendments will also clarify that supporting a worker is a legitimate purpose for access, and they will provide a power to bring forward secondary legislation to make further provision as to how the CAC is to determine the level of penalty fines for non-compliance with access agreements.",RIGHTS
"They will expand access rights, enabling access agreements to cover communicating with workers in ways that do not involve entering premises—for example, connecting digitally using technology—therefore modernising our antiquated industrial relations framework.",ADEQ
That will end the deliberate gaming of the system that we have seen in recent years.,COMPL
They will ensure that an employer cannot recognise a non-independent trade union after receiving a request for voluntary recognition from an independent trade union as a means of thwarting the independent trade union’s subsequent application to the CAC for statutory recognition.,COMPL
"These amendments will streamline the recognition process, reduce opportunities for unfair practices to occur, and ensure that unions that seek recognition have a fair and transparent statutory route to enable them to do so.",ADEQ
"Today’s amendments on industrial action rules will reduce the costly, complex and bureaucratic requirements on unions in relation to industrial action and ballot notices, while ensuring that employers have the necessary notice and information to prepare for industrial action.",BALANC
"New clause 42 will simplify notice to employers of industrial action ballots and industrial action, reducing the chance of spurious challenge and making the information required more proportionate.",ADEQ
"Instead, unions will provide reminders about members’ right to opt out every 10 years, ensuring transparency without imposing costly and time-consuming ballots",ADEQ
"The Bill will bring together the various agencies and enforcement bodies that enforce employment rights in the new Fair Work Agency, so that where employers are not doing what is right, a simplified and strengthened enforcement system will protect workers and ensure justice in the workplace.",ENFORCE
The Fair Work Agency needs the right tools to do the job. A series of amendments form a package that will give the Fair Work Agency the tools that it needs to hold all employers to account more effectively.,ENFORCE
That is fair for workers and businesses.,JUST
" As a result, the agency may be able to help workers get the money they are owed more quickly than if they had to go through an employment tribunal.",ENFORCE
"Where proceedings before the tribunal are necessary, we want the Fair Work Agency to be able to support individuals and ensure that the tribunal’s time is used as effectively as possible.",ENFORCE
Today we are bringing forward two amendments that will deliver the Government’s commitment to give the Fair Work Agency the strong powers that it needs to tackle labour exploitation.,ENFORCE
"We will enable Fair Work Agency enforcement officers to use their powers to investigate such cases, helping the agency to protect the most vulnerable in the workforce.",POWER
