text,concept,person
"Should a union notify an employer of a strike in accordance with the existing normal rules, the Bill will allow the employer to issue a work notice to the union specifying the workers needed to work during a strike to secure the minimum level of safety and service.",RIGHTS,Grant Shapps
"Employers will be required to consult the union on the number of workers to be identified in the work notice and the work to be undertaken, and have regard to the union’s views before issuing that work notice.",COLLECT,Grant Shapps
The work notice must not list more people than reasonably necessary to meet the minimum level of safety and service.,RIGHTS,Grant Shapps
Employers must have no regard to whether someone is or is not a member of the union—or even the CLP—when deciding whether they need to be included in that work notice.,RIGHTS,Grant Shapps
"Instead of reaching for the statute book and trying to legally constrain trade unions from their legitimate action, why does the Secretary of State not address the fundamental causes: poverty pay, stress, bad conditions and inadequate service in all parts of the UK?",PHYSICAL,Jeremy Corbyn
"It is important to say that I agree with him, for once, because we are trying to work constructively—as we should—to bring strikes to a conclusion, but we must not do so at the expense of the lives and livelihoods of our constituents.",RELATE,Grant Shapps
Unions must take reasonable steps to ensure that members do not participate in strikes if they have been named in a work notice.,COLLECT,Grant Shapps
It is up to unions to ensure public safety and not put lives at risk.,COLLECT,Grant Shapps
Only if they fail to do so could they face civil action in court.,RIGHTS,Grant Shapps
"The Government, unions, employers and workers have a role to play in ensuring that essential services continue even during strikes.",BALANC,Grant Shapps
"Countries such as Australia and Canada have the ability to ban outright those strikes that would endanger lives, such as in some blue-light services.",COMPAR,Grant Shapps
"However, this legislation does not seek to ban the right to strike.",RIGHTS,Grant Shapps
The Government will always defend the principle that workers should be able to withdraw their labour.,JUST,Grant Shapps
"The Secretary of State just mentioned that minimum service levels exist in many other countries, including Italy, Spain and France.",COMPAR,Vicky Ford
"All that we are saying is that, in certain services in these important sectors, the right to strike must be balanced against the needs of the public to rely on a basic level of life-saving care.",BALANC,Grant Shapps
"The legislation simply brings us into line, as my hon. Friend just said, with many other modern European nations, such as Spain, Italy, France and Ireland.",COMPAR,Grant Shapps
The International Labour Organisation itself states that minimum service levels can be a proportionate way of balancing the right to strike with the need to protect the wider public.,BALANC,Grant Shapps
"On the claim of minimum safety levels across Europe, is the Secretary of State aware that, according to the OECD, France lost, on average, 112 days per 1,000 workers between 2008 and 2018? Spain lost 76 strike days, and Italy lost 42. Yet the UK lost only 20 strike days.",COMPAR,Florence Eshalomi
"As I have explained a number of times, we have seen in recent months a flare-up of strikes that are putting people’s lives and livelihoods at risk.",ECONOMIC,Grant Shapps
It is the minimal standards that the public needs.,RELATE,Siobhan Baillie
"It does not remove people’s ability to strike, but it prevents union bosses who perhaps are not as reasonable as the RCN from calling strikes that potentially put people’s lives at risk.",RELATE,Grant Shapps
"We are mindful of and thankful for the contribution of public service workers in this country, but where unions insist on disproportionate and sometimes plain unsafe levels of industrial action without informing the NHS, for example, and others, we must take the necessary steps to protect the public.",BALANC,Grant Shapps
"We said in our manifesto, and I repeat now, that it is not fair to let trade union leaders undermine the livelihoods of others, and nor is it fair for them to put lives and livelihoods at risk.",BALANC,Grant Shapps
"In this Second Reading debate, we are simply asking the unions to tell us when they are going to withdraw their labour so that we can agree a minimum safety level.",RIGHTS,Grant Shapps
It is just a common-sense safety net to keep the public safe and ease some of the enormous anxiety that they have felt over the last few months.,BALANC,Grant Shapps
Failing to support the Bill today will mean that Members who oppose this legislation are essentially prepared to put the safety and welfare of their own constituents at risk.,PHYSICAL,Grant Shapps
"Not only is this legislation a vindictive assault on the basic freedoms of British working people, but it is as empty of detail as it is full of holes.",JUST,Angela Rayner
"Will my good friend remind the House that section 240 of the Trade Union and Labour Relations (Consolidation) Act 1992 guarantees that trade unions will agree to provide life-and-limb cover during an industrial dispute, because failure to do so could result in a custodial sentence?",LEGAL,Chris Stephens
"We all want minimum standards of safety, service and staffing levels, and we want them every day, but it is the Minister who is failing to provide them. Instead of holding them to account, they Government are seeking through this Bill to grab sweeping new powers to impose burdens on employers and to remove basic rights from workers across our public service.",RIGHTS,Angela Rayner
"If the Secretary of State for Transport mandates that 50% of trains need to run on strike days, he knows that Network Rail will mandate that all signal operators need to work, because signals are needed even if just two trains are running. How can the Secretary of State for Business, Energy and Industrial Strategy say this Bill does not remove their right to strike?",AUTONOMY,Angela Rayner
"I know many Conservative Members will say that they respect, even champion, civil liberties, and I am sure they mean it, but with this Bill they are burning the freedoms for which we fought for centuries and are handing to Ministers unprecedented power over the individuals who are targeted.",JUST,Angela Rayner
"These people always turn up, often at times of crisis, and work without complaint to provide minimum service levels, and they do it on pay and conditions that are often inferior to what the unions are currently demanding.",COMPAR,James Sunderland
This Bill also makes no provision for the compensatory measures the ILO requires alongside such regulations.,RIGHTS,Angela Rayner
"It threatens teachers and nurses with the sack during a recruitment and retention crisis, and mounts an outright assault on the fundamental freedom of working people, while doing absolutely nothing to resolve the crisis at hand.",JUST,Angela Rayner
"At the end of the day, the Government have a responsibility to ensure that certain levels of service are provided in key sectors and in our public services, and rightly so.",JUST,Priti Patel
"The public expect that, and the Government have a responsibility to oversee that and ensure that these levels of services help to protect and safeguard lives, keep our country safe, support the economy and ensure that the British public—the silent, hard-working majority—can go about living their lives in the way that we all want to see.",RELATE,Priti Patel
"Obviously, the current wave of strikes and industrial action is concerning the public, it is also counterproductive when it comes to delivering public services.",ECONOMIC,Priti Patel
"It cannot be right that, in the 21st century, our great country and our economy are put at risk by strike action.",ECONOMIC,Priti Patel
"We have seen businesses and, in Essex, small and medium-sized enterprises, operating on tight margins—not glitzy corporations—now suffering because of the strikes.",ECONOMIC,Priti Patel
"It is reform that we should be talking about today—reform that can lead to better public service delivery, changes to our laws—",RIGHTS,Priti Patel
"Importantly, I wish to press the Government to consider widening the list of sectors where minimum service standards are needed.",RELATE,Priti Patel
"I wish to ask the Government to ensure that they always look to keep legislation and measures open and under review, so that we can continue to uphold standards to protect the public going about their daily lives.",RIGHTS,Priti Patel
"The legislation is nothing more than an attack on democracy—an attack on the rights of workers to withdraw their labour, and a further attack on devolution.",LEGAL,Alan Brown
"It also seems that this legislation is in breach of article 11 of the European convention on human rights, especially with regard to proportionate action.",LEGAL,Alan Brown
"Richard Arthur, head of trade union law at Thompsons Solicitors, said the Bill raised,

“very serious legal question marks”,

and anticipates legal challenges under article 11 of the ECHR and convention 87 of the International Labour Organisation.",LEGAL,Alan Brown
"Despite what the Secretary of State says, it is also clear that this legislation will allow employers to target those they think are part of an awkward squad.",POWER,Alan Brown
Allowing employers to decide who has to work on notified strike days clearly infringes on workers’ rights to withdraw labour.,JUST,Alan Brown
"Instead of the illegal blacklisting previously done by some companies, employers now can name workers they want to break a strike, and sack those workers if they stay true to their beliefs.",POWER,Alan Brown
"It also ignores the fact that section 240 of the 1992 Act, as my hon. Friend the Member for Glasgow South West (Chris Stephens) keeps saying, allows for preserving life and limb, and that unions have their own practices to comply with that legislation.",LEGAL,Alan Brown
It also shows an astonishing level of incompetence to bring in legislation that potentially allows them to sack essential workers in vital sectors where there is already a shortage of skilled workers.,POWER,Alan Brown
The objective of the Bill is absolutely right: we have to balance the right to strike with the right of people to go about their way of life.,BALANC,Iain Stewart
"Unison and GMB told me that they limited strike action to six or 12 hours instead of 24 hours, that there were procedures for bringing workers back from the picket line if they were needed on the ward, and that they monitored call volumes in real time to ensure that patients were kept safe.",COLLECT,Darren Jones
"I understand the value of a trade union—I understand that workers may want to organise to protect pay and working conditions—but what we are seeing is hard-left leaders and militant trade unions taking advantage of economic difficulty to instigate what is effectively a rolling general strike. When those actions put lives at risk, we Conservatives know that we must take action.",COLLECT,Saqib Bhatti
"If the trade unions offer a safe level of service at the very least, there is no need to have a minimum service level.",COLLECT,Saqib Bhatti
"The Government are on a mission to take power from the people, with restrictions on the right to protest, restrictions on democracy with voter ID, the removal of huge chunks of human rights through their Retained EU Law (Revocation and Reform) Bill—that will scrap more than 4,000 pieces of legislation, many of which cover the basic rights of people in this country—and now this disgraceful attempt to criminalise workers taking legitimate industrial action.",JUST,Kate Osborne
" As with most of this Government’s policies, this attempt to deny workers what is universally regarded as a fundamental human right seeks to divide communities and pit worker against worker, forcing some of them to walk past their colleagues and cross picket lines—although everyone here knows that I never have and never will cross a picket line.",JUST,Kate Osborne
"The Government should be negotiating, not legislating.",RIGHTS,Kate Osborne
"If we attack the trade unions, which are made up of members who are workers, then we are attacking the workers.",POWER,Kate Osborne
The Bill is part of the Government’s plan to restrict all our rights and to demonise and criminalise those who are just trying to survive.,JUST,Kate Osborne
I know from first-hand experience the amazing work that trade unions do in representing their members in the workplace.,COLLECT,Vicky Foxcroft
The fact is that minimum service levels do not stop strikes in Europe.,COMPAR,Vicky Foxcroft
These are negotiated between the unions and the employers.,COLLECT,Vicky Foxcroft
"They ensured there was a mutual voluntary agreement not through legislation, but through negotiation—something that we all know happens right the way through the public sector.
",COLLECT,Vicky Foxcroft
Trade union rights are human rights.,JUST,Vicky Foxcroft
"The right to strike is embedded in international law, most notably in article 11 of the European convention on human rights.",LEGAL,Laura Farris
"The disingenuousness comes from making comparisons with other nations under ILO regulations, which clearly have a completely different context.",COMPAR,Sam Tarry
"The Opposition will have to say why all those comparable states, which go much further than us, are somehow acting lawfully, yet we are not.",COMPAR,Laura Farris
"It contains wide, prospective Henry VIII powers, and as we saw during the pandemic, if we give the Government such powers, they abuse them—but they are putting them in legislation.",POWER,Dawn Butler
Ministers are trying to have power over Parliament—that is all the Bill is about—and to encourage employers to have power over workers.,POWER,Dawn Butler
"If the Government are serious about having minimum service levels, and if they are serious about negotiating, which nobody in the Government seems able to do, they should agree to compulsory arbitration or mediation to resolve disputes, but they are not interested in that.",CREATE,Dawn Butler
"I say to the Government, however, that the public are not stupid and they see what the Government are doing by trying to take away their rights at every single level, including the right to protest and the right to vote.",JUST,Dawn Butler
"We see what the Government are doing and we will stand up and stop them at every opportunity.
",POLIT,Dawn Butler
"This whole debate is about balancing the right to strike with the right of our citizens to have access to key services when they need them—the right of citizens to get to work, the right of children to get to school, and the right of small business owners to continue their business.
",BALANC,Chris Loder
"Hard-working union members who feel pressured to strike, who believe that eight days of strikes in quick succession is too much, or who do not agree with having six days to respond to a ballot referendum instead of the standard 14, want the situation tempered and want their needs and rights to be recognised, rather than the ideological ones of trade unions.",COLLECT,Chris Loder
"I wonder what the hundreds of thousands of teachers who just voted to go on strike against his abominable Government think about being called political pawns, when they are striking to look after our children.",POLIT,Sam Tarry
"The restrictive anti-trade union legislation they pushed through in 2016 clearly was not enough for them, so now we see an unprecedented attack that will undermine the most basic of workers’ rights—the right to withdraw labour.",JUST,Owen Thompson
The right to strike is essential for fairness in negotiations with employers and to protect workers from having appalling pay and conditions imposed on them.,JUST,Owen Thompson
It is what differentiates modern Europe from the medieval serfdoms of the past.,COMPAR,Owen Thompson
"We saw them illegally prorogue Parliament and push through Brexit, and now we see plans for a bonfire of thousands of EU regulations that protect our rights.",LEGAL,Owen Thompson
"They do not have unspecified minimum service levels imposed on them by an Executive, as this Bill would enable this Government to do.",COMPAR,Owen Thompson
"They are striking for the very future of public services, which they witness being run into the ground.",ECONOMIC,Owen Thompson
"They are protecting the cohesion of our communities, the standards of living we should all be able to enjoy and the rights of all workers.",JUST,Owen Thompson
"I stand in solidarity with them, and I will always fight to protect the right to strike from irresponsible attacks such as this.",JUST,Owen Thompson
"It is fair and reasonable, and I always come back to the theme of being fair and reasonable, to suggest that some of this legislation—and I will be supporting the Bill—is about making sure there is a correct balance between those in the unions who wish to strike and those, who are a majority of my electorate, who continue either to run their own small companies or to work in smaller industries that rely on public services, such as the railway network.",BALANC,Gagan Mohindra
"Finally, my great friend my hon. and gallant Friend the Member for Bracknell (James Sunderland) mentioned that our armed forces and the police have not been able to strike for over 100 years. That system has worked, so I am not necessarily worried about this particular piece of legislation.",COMPAR,Gagan Mohindra
"Lutonians have written to me concerned about the plans to restrict their right to strike not just for themselves, but for the services they rely on.",JUST,Sarah Owen
"This is a debate about the balance of rights, and balancing the right to strike of our constituents who work in essential public services with the rights of our other constituents, and their right to get to work, to school, to have their operation, and even in the case of blue-light services, their right to life.",BALANC,Ruth Edwards
"It is certainly not an attack on public sector workers, and suggestions otherwise from Labour Members are both disgusting and an attempt to stifle genuine debate.",JUST,Ruth Edwards
"The Labour party would have us believe that this is some outrageous attack on workers’ rights—“political violence”, said the hon. Member for Jarrow (Kate Osborne)—and something that no civilised country could possibly contemplate. No civilised country other than Spain, Italy, Germany, France, or indeed the United States, Australia and Canada, which in some areas have an outright ban on strikes in blue-light services. Normally, Opposition Members idolise Europe’s approach to employment rights, but on the issue of minimum services they are keeping very quiet.",COMPAR,Ruth Edwards
"“but regret that the measures in the Gracious Speech fail to ensure that those who put in a hard day’s work get a decent reward for doing so, or cut the costs to the social security system resulting from the current record 5.2 million workers on low pay and the rising tide of insecurity at work, and call on your Government to bring forward measures setting the Low Pay Commission a five year target to raise the National Minimum Wage faster than average earnings while retaining the capacity to take account of shocks to the economy.”.",RIGHTS,Chuka Umunna
"However, I rise to speak to Amendment 335, standing in my name, which would introduce a sunset clause ensuring that the Act will expire after three years unless the Secretary of State demonstrates that it has led to a net increase in employment. I do so against a background of economic data emerging in recent months painting a deeply concerning picture of the UK labour market. The UK’s jobless rate ticked up to 4.6% in April, while payrolled employment has fallen sharply, according to official figures covering the period when the Budget tax hikes on businesses came into effect.
",,David James Fletcher Hunt
"The Government’s plan to make work pay is a core part of our mission to grow the economy, raise living standards across the country and create opportunities for all. It will tackle the low pay, poor working conditions and poor job security that have been holding our economy back. The Bill is the first phase of delivering our plan to make work pay, supporting employers, workers and unions by raising the minimum floor of employment rights, raising living standards across the country and levelling the playing field for those businesses that are engaged in good practice.
",ECONOMIC,Justin Madders
"This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation. ",RIGHTS,Justin Madders
"The Government have tabled a range of amendments in relation to zero-hours measures. These amendments will help ensure that the zero-hours contract reforms work for workers and employers, supporting a culture where secure work and prosperous growth go hand in hand.",BALANC,Justin Madders
"Amendments in relation to clause 1, covering the right to guaranteed hours, will clarify requirements where a worker works for an employer under more than one contract at the same time, clarify that under a guaranteed hours offer, if it is accepted, work must be provided by the employer for the hours set out and that those hours must be worked by the worker, and enable a worker to take a case to an employment tribunal on the ground that an employer deliberately structured the worker’s hours or offered work in such a way as to make a reduced guaranteed hours offer or to avoid having to make an offer at all.",WAGES ,Justin Madders
"Given the urgent necessity to promote growth, surely the acid test of a Bill such as this is whether it will actually make it more attractive for entrepreneurs to create jobs.",ECONOMIC,Edward Leigh
"The consensus on the economic impacts of labour laws is that, far from being harmful to growth, they contribute positively to productivity. Labour laws also help ensure that growth is more inclusive and that gains are distributed more widely across society",ECONOMIC,Simon Deakin
"Amendments in relation to the rights in clauses 2 and 3 to reasonable notice of shifts and payment for short-notice cancellation, curtailment and movement of shifts will ensure that the rights work appropriately for workers whose contracts specify the timing of at least some of their shifts, provide that a worker is entitled to a payment from their employer only for a shift cancelled, moved or curtailed at short notice if they reasonably believed they would be needed to work the shift, and allow employers to disclose personal information about a worker in notices of exceptions, where appropriate and in accordance with data protection law, and ensure that the usual burden of proof applies where it is alleged that such a notice is untrue.
",ACCESS,Justin Madders
"The tightening up that he proposes is very welcome. When does he think he will set out the detail—[Interruption.] When will he set out the detail of, for example, the period of time that someone must work before being offered a zero-hours contract?",CREATE,Liam Byrne
"Our measures on guaranteed hours, reasonable notice of shifts, and payment for short-notice cancellations seek to ensure that workers, often in fragmented sectors with little voice of their own, do not bear all the risk of uncertain demand.",ACCESS,Justin Madders
"However, we recognise that there are cases where unions and employers, working together, may want to agree more tailored rights than the provisions allow, which would benefit both the workers and the employer given the unique context of that particular sector. Unions, businesses and trade associations have made a case for that flexibility in their meetings with us. We want to allow for that, while also providing a baseline for sectors where unionisation is uncommon or agreement cannot be reached. New clause 33 and associated amendments will allow employers and unions to collectively agree to modify or opt out of the zero-hours contract measures.",BALANC,Justin Madders
"The Government’s plan to make work pay is a core part of our mission to grow the economy, raise living standards across the country and create opportunities for all. It will tackle the low pay, poor working conditions and poor job security that have been holding our economy back. The Bill is the first phase of delivering our plan to make work pay, supporting employers, workers and unions by raising the minimum floor of employment rights, raising living standards across the country and levelling the playing field for those businesses that are engaged in good practice.",ECONOMIC,Justin Madders
"This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation",RIGHTS,Justin Madders
"The Government have tabled a range of amendments in relation to zero-hours measures. These amendments will help ensure that the zero-hours contract reforms work for workers and employers, supporting a culture where secure work and prosperous growth go hand in hand.",BALANC,Justin Madders
"Amendments in relation to clause 1, covering the right to guaranteed hours, will clarify requirements where a worker works for an employer under more than one contract at the same time, clarify that under a guaranteed hours offer, if it is accepted, work must be provided by the employer for the hours set out and that those hours must be worked by the worker, and enable a worker to take a case to an employment tribunal on the ground that an employer deliberately structured the worker’s hours or offered work in such a way as to make a reduced guaranteed hours offer or to avoid having to make an offer at all.",COMPL,Justin Madders
"Given the urgent necessity to promote growth, surely the acid test of a Bill such as this is whether it will actually make it more attractive for entrepreneurs to create jobs.",ECONOMIC,Edward Leigh
"The consensus on the economic impacts of labour laws is that, far from being harmful to growth, they contribute positively to productivity. Labour laws also help ensure that growth is more inclusive and that gains are distributed more widely across society",ECONOMIC,Simon Deakin
"Amendments in relation to the rights in clauses 2 and 3 to reasonable notice of shifts and payment for short-notice cancellation, curtailment and movement of shifts will ensure that the rights work appropriately for workers whose contracts specify the timing of at least some of their shifts, provide that a worker is entitled to a payment from their employer only for a shift cancelled, moved or curtailed at short notice if they reasonably believed they would be needed to work the shift, and allow employers to disclose personal information about a worker in notices of exceptions, where appropriate and in accordance with data protection law, and ensure that the usual burden of proof applies where it is alleged that such a notice is untrue.",ENFORCE,Justin Madders
"The tightening up that he proposes is very welcome. When does he think he will set out the detail—[Interruption.] When will he set out the detail of, for example, the period of time that someone must work before being offered a zero-hours contract?",CREATE,Liam Byrne
"Our measures on guaranteed hours, reasonable notice of shifts, and payment for short-notice cancellations seek to ensure that workers, often in fragmented sectors with little voice of their own, do not bear all the risk of uncertain demand.",POWER,Justin Madders
"However, we recognise that there are cases where unions and employers, working together, may want to agree more tailored rights than the provisions allow, which would benefit both the workers and the employer given the unique context of that particular sector. Unions, businesses and trade associations have made a case for that flexibility in their meetings with us. We want to allow for that, while also providing a baseline for sectors where unionisation is uncommon or agreement cannot be reached. New clause 33 and associated amendments will allow employers and unions to collectively agree to modify or opt out of the zero-hours contract measures.",BALANC,Justin Madders
"Like the other workers covered by this part of the Bill, agency workers deserve a baseline of security and access to a contract that reflects their regular hours. ",JUST,Justin Madders
"We are keen not to see a wholesale shift from directly engaged workers to agency workers as a way for employers to avoid the zero-hours provisions in the Bill.
",DETER,Justin Madders
"New clause 32, new schedule 1 and associated amendments will narrow the broad power currently in the Bill and instead include provisions for similar rights to be extended to agency workers. Hirers, agencies and agency workers can then be clear where responsibilities will rest in relation to the new rights.",COMPL,Justin Madders
These amendments reflect the call for clarity from stakeholders in their response to the Government’s public consultation on this issue.,COMPL,Justin Madders
regulations that achieve the policy objective of extending rights to agency workers without unintended consequences for employment agencies and hirers—and we will work on that in due course.,REPLIC,Justin Madders
"This Bill will help employers to raise standards in relation to these practices, so that the vast majority of businesses that do the right thing by their workers will no longer be undercut by those with low standards.
",ADEQ,Justin Madders
It is the Government’s intention to end the unscrupulous use of fire and rehire. We are proposing technical amendments that allow the clause to work as intended to provide those protections.,JUST,Justin Madders
"They ensure that, once the provisions of the Bill that make unfair dismissal a day one right come into force, the automatic unfair dismissal protections from unscrupulous fire and rehire practices will apply once the employee starts work",REPLIC,Justin Madders
This brings the provision in line with other changes to unfair dismissal.,LEGAL,Justin Madders
"These amendments also make it clear that the person will be protected from fire and rehire when they are dismissed and then rehired to do exactly the same job as they were doing previously, but on worse conditions.",REPLIC,Justin Madders
Clause 25 will modernise the collective redundancy framework to ensure that it works for employees and employers alike,BALANC,Justin Madders
 so the changes proposed would ensure that this clause extends protections for employees while limiting burdens for employers.,BALANC,Justin Madders
" This will happen after we have consulted, ensuring that it balances the needs of a growing business with the interests of employees.",BALANC,Justin Madders
"The Government’s intention is to ensure that it is more difficult for a small and unscrupulous minority of employers to ignore their collective redundancy obligations, as we have seen in recent years.",DETER,Justin Madders
They recognise that collective consultation with their workforce can be valuable in finding solutions to the challenges that businesses face,ECONOMIC,Justin Madders
"We will publish a new code of practice to guide employers on their collective consultation obligations and promote the way good employers are working with their employees to arrive at mutually beneficial outcomes, so that all businesses are required to do the same.",ADEQ,Justin Madders
" The Bill will increase the baseline set of rights for employees with parental responsibilities, enabling more working parents to get on at work and achieve a better work-life balance, whether they are raising children or looking after a loved one with a long-term health condition. ",RELATE,Justin Madders
"Businesses will gain too, where this boosts workforce participation and helps employers to fill vacancies. ",ECONOMIC,Justin Madders
These amendments will ensure that these provisions work as intended.,REPLIC,Justin Madders
This is to ensure that the regulations can clearly set out details as part of defining the circumstances in which a pregnant woman can still be fairly dismissed.,COMPL,Justin Madders
"In our “Plan to Make Work Pay”, we committed to establishing a fair earnings replacement for lower earners.",ADEQ,Justin Madders
" After carefully considering the responses, the Government believe that an 80% rate strikes the right balance between providing financial security to employers that need it, including retaining an incentive to return to work when appropriate, while limiting additional cost to businesses.",BALANC,Justin Madders
"The Minister may correct me, but I do not believe the provisions around menstrual health—the menopause strategy and so on—include endometriosis, which can be crippling for people in the workplace.",PHYSICAL,Alec Shelbrooke
"I may not have seen it in the Bill, but does the Minister have any plans to ensure that this becomes a protected area of sick leave?",RIGHTS,Alec Shelbrooke
"Endometriosis is devastating for many women, but at the moment, they are struggling to get this terrible disease recognised in the workplace.",ADEQ,Alec Shelbrooke
 We think that that is the right balance and that it will leave people in a much better position.,BALANC,Justin Madders
The amendment marks an important step towards ensuring non-compliant umbrella companies are no longer able to deny workers the rights they are owed.,DETER,Justin Madders
We absolutely think that a floor is needed given some of the issues with low pay in this country.,ADEQ,Justin Madders
Does he not understand that that creates a massive burden on many businesses?,ECONOMIC,Wendy Morton
Would it not be better to accept that the Government have gone a little overboard with the Bill and to start afresh with proper consultation with businesses at ground level?,COMPL,Wendy Morton
" It was a Labour party commitment to launch an Employment Rights Bill within 100 days of taking office, and I am proud that we have delivered on that commitment and that we have this Bill here today.",POLIT,Justin Madders
 That will allow such workers to bring an unlawful deduction of wages claim or breach of contract claim for a breach of fair pay agreement terms.,ACCESS,Justin Madders
"As such, it is right for Scotland and Wales to have the powers to set up negotiating bodies that can provide for their systems and workforces as they are now. These amendments and associated consequential amendments will allow the devolved Ministers to exercise certain powers in this chapter of the Bill with the consent of the Secretary of State, ensuring that the Secretary of State retains oversight of regulations relating to the reserved matters of employment and industrial relations.",ENFORCE,Justin Madders
It will enable those regulations to apply to section 49 of the National Minimum Wage Act 1998 in order to prevent employers from trying to contract out of their new record keeping obligations.,DETER,Justin Madders
The Committee’s inquiry demonstrated a clear gap in support for those who experience pregnancy loss and need time to recover and grieve.,ADEQ,Justin Madders
"Bereavement is not an illness or a holiday, and it needs its own special category.",COMPL,Justin Madders
"Many already do so through their membership of Employers’ Initiative for Domestic Abuse, which empowers employers to tackle domestic abuse.",RIGHTS,Justin Madders
"The Bill includes provision to make flexible working easier to request, which we know can be of great help to those experiencing domestic abuse, who may need to take time from work for appointments for domestic abuse-related matters.",JUST,Justin Madders
The Government are pressing ahead with plans to implement the provisions relevant to NDAs in the Victims and Prisoners Act 2024 and the Higher Education (Freedom of Speech) Act 2023.,ADR,Justin Madders
Imposing a duty on bigger employers to look at and investigate protected disclosures is a vital way of moving forward on that key legislation.,ADR,Julian Lewis
"Boosting wages will increase workforce participation, helping employers fill vacancies and supporting us to reach our ambition of 80% employment.",ECONOMIC,Alison McGovern
"With many Labour Members claiming that they care about young people being employed, has the Minister’s Department made assessments about the employment impact of the decision to introduce minimum guaranteed hours for students and young people who rely on the flexibility of being able to pick and choose their work hours, particularly those who are working in the hospitality sector, which is being decimated by this Government?
",ECONOMIC,Paul Holmes
"I think the hon. Gentleman is referring to the ban on exploitative zero-hours contracts, but if somebody wants a flexible hours contract, then that is a good thing, and nothing in the changes prevents that.",ECONOMIC,Alison McGovern
"When getting young people a proper range of choices and jobs through the jobcentre, not nearly enough work has been done to serve employers better.",ENFORCE,Alison McGovern
The disability employment gap stands at 30% and countless disabled workers end up out of work because their employers refuse to make simple changes that would help them to do their jobs.,COMPL,Deirdre Costigan
